Product_Handle,Product_Title,Royalty_Level,Sub_Product_Type,Size,Paper_Type,Paper_Grammage,Lamination_or_Color,Specialty
business-cards,Business Cards,Standard,300 Gsm Single Side,"3.2"" x 1.9""",,,Shine,
business-cards,Business Cards,Standard,300 Gsm Single Side,"3.2"" x 1.9""",,,Matte,
business-cards,Business Cards,,300 Gsm Front 4 color + single color back,"3.2"" x 1.9""",,,Shine,
business-cards,Business Cards,,300 Gsm Front 4 color + single color back,"3.2"" x 1.9""",,,Matte,
business-cards,Business Cards,UV CARD,350 Gsm Single Side Round Corner,"3.2"" x 1.9""",,,Spot UV,
business-cards,Business Cards,UV CARD,350 Gsm Single Side Round Corner,"3.2"" x 1.9""",,,Matte UV,
business-cards,Business Cards,,350 Gsm Double Side Round Corner,"3.2"" x 1.9""",,,Spot UV,
business-cards,Business Cards,,350 Gsm Double Side Round Corner,"3.2"" x 1.9""",,,Matte UV,
business-cards,Business Cards,Foil Card,350 Gsm Foil + UV Card Single Side,"3.2"" x 1.9""",,,Golden Foil + UV Matte,
business-cards,Business Cards,Foil Card,350 Gsm Foil + UV Card Single Side,"3.2"" x 1.9""",,,Golden foil  + Spot UV,
business-cards,Business Cards,Foil Card,350 Gsm Foil + UV Card Single Side,"3.2"" x 1.9""",,,Silver Foil + Spot UV,
business-cards,Business Cards,Foil Card,350 Gsm Foil + UV Card Single Side,"3.2"" x 1.9""",,,Silver Foil + Matte UV,
business-cards,Business Cards,Custom Shape Card,700 Gsm Custom Shaped Card,"3.5"" x 2""",,,Spot UV,
business-cards,Business Cards,Custom Shape Card,700 Gsm Custom Shaped Card,"3.5"" x 2""",,,Matte UV,
business-cards,Business Cards,Premium,700 Gsm Double Side Round Corner,"3.25"" x 1.9""",,,Matte UV,
business-cards,Business Cards,,700 Gsm Double Side ATM Card Size,"3.4"" x 2""",,,Spot UV,
business-cards,Business Cards,,700 Gsm Double Side ATM Card Size,"3.4"" x 2""",,,Matte UV,
business-cards,Business Cards,,700 Gsm Foil Card Double Side,"3.25"" x 1.9""",,,Golden Foil + UV Matte,
business-cards,Business Cards,,700 Gsm Foil Card Double Side,"3.25"" x 1.9""",,,Golden foil  + Spot UV,
business-cards,Business Cards,,700 Gsm Foil Card Double Side,"3.25"" x 1.9""",,,Silver Foil + Spot UV,
business-cards,Business Cards,,700 Gsm Foil Card Double Side,"3.25"" x 1.9""",,,Silver Foil + Matte UV,
business-cards,Business Cards,PVC Card,0.76 MM PVC CARD Round Corner,"3.4"" x 2""",,,Heat Transfer,
business-cards,Business Cards,PVC Card,0.76 MM PVC CARD Round Corner,"3.4"" x 2""",,,UV FLAT BED,
business-cards,Business Cards,Mettalic Card,24 Gauge Metal Card,"3.5"" x 2""",,,Black,
business-cards,Business Cards,Mettalic Card,24 Gauge Metal Card,"3.5"" x 2""",,,Silver,
business-cards,Business Cards,Mettalic Card,24 Gauge Metal Card,"3.5"" x 2""",,,Golden,
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Plain Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Plain Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Plain Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Plain Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Art Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Art Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Art Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Art Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Matter Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Matter Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Matter Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Matter Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Kraft Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Kraft Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Kraft Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,Standard,C5 Envelope,"9"" x 6.4""""",Kraft Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Plain Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Plain Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Plain Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Plain Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Art Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Art Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Art Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Art Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Matter Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Matter Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Matter Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Matter Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Kraft Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Kraft Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Kraft Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,A4 Envelopes,"9"" x 12.8""",Kraft Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Plain Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Plain Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Plain Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Plain Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Art Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Art Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Art Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Art Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Matter Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Matter Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Matter Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Matter Paper,150 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Kraft Paper,90 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Kraft Paper,113 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Kraft Paper,125 gsm,,Windows Yes/NO
envelopes,Envelopes,,Legal Envelopes,"9.5"" x 15""",Kraft Paper,150 gsm,,Windows Yes/NO
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,68 Gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,68 Gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,68 Gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,90 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,90 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,90 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,113 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,113 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,113 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,125 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,125 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,125 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,150 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,150 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Local,150 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,68 Gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,68 Gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,68 Gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,90 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,90 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,90 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,113 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,113 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,113 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,125 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,125 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,125 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,150 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,150 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,150 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,68 Gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,68 Gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,68 Gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,90 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,90 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,90 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,113 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,113 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,113 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,125 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,125 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,125 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,150 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,150 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,150 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,68 Gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,68 Gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,68 Gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,90 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,90 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,90 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,113 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,113 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,113 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,125 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,125 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,125 gsm,,Trifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,150 gsm,,MonoFold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,150 gsm,,Bifold
brochures,Brochures,Standard,A4 Single Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,150 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,68 Gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,68 Gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,68 Gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,90 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,90 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,90 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,113 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,113 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,113 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,125 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,125 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,125 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,150 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,150 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Local,150 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,68 Gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,68 Gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,68 Gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,90 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,90 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,90 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,113 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,113 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,113 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,125 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,125 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,125 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,150 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,150 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Plain Paper,150 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,68 Gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,68 Gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,68 Gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,90 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,90 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,90 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,113 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,113 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,113 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,125 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,125 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,125 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,150 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,150 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Art Paper,150 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,68 Gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,68 Gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,68 Gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,90 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,90 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,90 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,113 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,113 gsm,,Bifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,113 gsm,,Trifold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,125 gsm,,MonoFold
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,125 gsm,,Bifold
